index,gm_mean,wm_gm_mean
1.0,0.0179856115108,0.00359712230216
2.0,0.705035971223,0.0647482014388
3.0,17.6115107914,0.356115107914
4.0,153.974820144,2.03597122302
5.0,615.460431655,19.7338129496
6.0,1371.25899281,134.226618705
7.0,2090.87410072,460.917266187
8.0,2445.8057554,1031.70143885
9.0,2275.03597122,1748.20143885
10.0,1711.10431655,2377.99280576
11.0,1148.98920863,2610.98561151
12.0,706.456834532,2394.60071942
13.0,407.935251799,1930.01798561
14.0,229.586330935,1388.15827338
15.0,119.147482014,857.316546763
16.0,54.7338129496,400.701438849
17.0,20.3237410072,131.057553957
18.0,6.8309352518,29.5647482014
19.0,2.85611510791,5.67625899281
