index,gm_mean,wm_gm_mean
1.0,0.0107913669065,0.0
2.0,0.0143884892086,0.0
3.0,1.04676258993,0.00719424460432
4.0,17.6798561151,0.0215827338129
5.0,105.931654676,0.0647482014388
6.0,496.111510791,0.838129496403
7.0,1338.07553957,15.3381294964
8.0,2063.07913669,99.7230215827
9.0,2510.36690647,318.964028777
10.0,2450.17985612,652.920863309
11.0,1866.42805755,1075.15107914
12.0,1165.68705036,1672.10071942
13.0,669.104316547,2371.82733813
14.0,365.507194245,2772.05395683
15.0,187.809352518,2586.50719424
16.0,90.0791366906,2026.22302158
17.0,35.6258992806,1402.81294964
18.0,11.9532374101,487.320143885
19.0,4.02158273381,41.4388489209
