index,gm_mean,wm_gm_mean
1.0,0.323741007194,0.0143884892086
2.0,5.78776978417,0.179856115108
3.0,51.0107913669,0.773381294964
4.0,268.237410072,6.11510791367
5.0,822.575539568,49.3669064748
6.0,1668.34172662,222.895683453
7.0,2372.84892086,613.611510791
8.0,2522.52158273,1231.70503597
9.0,2083.17985612,1965.91007194
10.0,1454.78776978,2502.99640288
11.0,939.503597122,2591.22661871
12.0,565.489208633,2260.26258993
13.0,318.848920863,1751.50359712
14.0,168.309352518,1199.00359712
15.0,81.2050359712,696.061151079
16.0,35.381294964,304.723021583
17.0,13.3381294964,97.8201438849
18.0,4.62949640288,23.8633093525
19.0,2.38848920863,5.28057553957
