index,gm_mean,wm_gm_mean
1.0,0.255395683453,0.0179856115108
2.0,4.06834532374,0.10071942446
3.0,38.5971223022,0.568345323741
4.0,219.226618705,3.92805755396
5.0,715.611510791,33.0107913669
6.0,1529.30935252,167.165467626
7.0,2338.28776978,496.276978417
8.0,2578.8381295,1056.8705036
9.0,2192.42446043,1805.78776978
10.0,1546.01798561,2472.09352518
11.0,987.446043165,2687.67625899
12.0,585.284172662,2397.70143885
13.0,324.701438849,1847.52877698
14.0,172.183453237,1274.04316547
15.0,84.6079136691,764.449640288
16.0,38.6582733813,359.208633094
17.0,15.2769784173,122.323741007
18.0,5.26978417266,28.6654676259
19.0,2.64388489209,5.89568345324
