index,gm_mean,wm_gm_mean
1.0,0.00719424460432,0.0
2.0,0.107913669065,0.0
3.0,2.25539568345,0.00719424460432
4.0,23.2625899281,0.0647482014388
5.0,138.09352518,0.212230215827
6.0,598.071942446,1.65467625899
7.0,1464.76618705,23.4136690647
8.0,2176.44604317,130.809352518
9.0,2523.49640288,371.478417266
10.0,2351.24820144,710.90647482
11.0,1751.26618705,1161.1942446
12.0,1093.13309353,1769.62230216
13.0,620.107913669,2419.68705036
14.0,331.190647482,2727.31654676
15.0,171.215827338,2466.73741007
16.0,83.9352517986,1893.54676259
17.0,34.4820143885,1318.62230216
18.0,11.654676259,486.557553957
19.0,3.97122302158,41.4820143885
