index,gm_mean,wm_gm_mean
1.0,0.00719424460432,0.0
2.0,0.13309352518,0.0
3.0,3.73381294964,0.00719424460432
4.0,28.7517985612,0.0503597122302
5.0,149.776978417,0.309352517986
6.0,608.773381295,3.5035971223
7.0,1428.21942446,25.3597122302
8.0,2101.07913669,128.730215827
9.0,2472.88489209,364.669064748
10.0,2351.34892086,696.625899281
11.0,1783.88848921,1100.19064748
12.0,1135.8381295,1659.45683453
13.0,649.442446043,2316.01798561
14.0,349.28057554,2687.27338129
15.0,181.600719424,2538.35251799
16.0,83.2553956835,2062.42446043
17.0,34.2985611511,1410.48920863
18.0,12.1366906475,484.90647482
19.0,4.26258992806,44.9460431655
